BNP	SG
15.2462	23.2229
15.2603	23.3015
14.9183	22.9258
15.593	23.6859
14.8948	22.9651
14.8246	22.9171
14.4919	22.2618
15.0401	23.1792
14.8011	23.45
15.4571	24.1315
16.1271	25.0489
16.4035	25.3765
15.696	24.7911
16.0568	25.394
16.858	26.3944
16.2068	25.3285
16.1786	25.4202
16.8955	26.2502
16.7362	26.5167
16.7362	26.5167
17.0173	27.1239
16.5113	26.7264
17.1063	26.9754
16.099	25.5469
15.5789	24.813
16.2114	25.8658
15.6679	24.9484
16.5254	26.2109
17.3968	27.0759
16.0193	25.3372
16.6847	26.5604
17.7108	28.0238
17.7764	27.3074
17.7764	27.0802
18.9524	28.7228
18.9524	28.7228
18.9524	28.7228
19.0929	28.998
19.7864	30.3173
20.5501	31.191
20.5829	31.0818
20.5642	31.1779
21.431	32.2394
22.0682	33.4801
22.3306	32.7811
22.4289	32.4316
22.2556	32.2394
22.6726	33.2005
23.0896	33.4888
23.4363	34.0392
23.6425	34.0742
23.1692	33.55
23.7549	33.8121
23.0287	32.685
22.4805	31.7414
22.8787	32.2787
23.1177	32.3268
22.2837	31.1604
21.5528	30.9289
23.3754	32.5365
23.7971	33.1262
23.4832	32.6369
22.7241	32.0079
22.6585	31.9904
22.2181	31.9686
22.8928	32.2569
21.5528	31.7152
21.7636	31.8026
22.771	32.7243
22.6445	32.4709
22.5133	32.2219
21.1358	31.3264
20.9718	30.4789
20.522	29.2819
21.3091	29.9896
21.787	30.6231
23.5488	31.9292
22.3446	31.5841
22.3352	31.2216
22.0682	30.5707
22.7241	30.7541
21.1873	29.7931
20.2128	29.5703
19.0836	28.2816
18.4698	28.1112
19.7442	30.2649
19.688	31.2827
19.6786	31.2696
20.2128	30.9201
21.3654	31.4968
19.6833	30.8633
18.8306	30.3173
16.6425	28.0107
15.7991	28.3864
15.5039	28.2248
15.3118	27.7748
15.2697	27.0933
14.8995	26.2109
14.7543	25.8483
14.0562	24.3718
14.5856	24.861
15.0682	25.3372
15.9303	26.7788
16.4926	27.3773
16.5722	27.338
16.1224	26.5167
15.6445	26.4992
15.3165	25.7347
15.7991	26.1716
16.1365	26.473
16.1365	26.473
16.099	26.4206
15.5836	25.5513
16.1318	26.3332
15.4149	24.8348
15.5039	24.2407
15.279	24.398
15.279	24.3499
16.605	26.2852
17.4296	26.9666
18.3245	28.3995
17.8982	27.1807
18.7415	28.8233
18.9946	28.8713
18.8774	28.9674
17.7154	27.6088
16.3989	25.228
16.9424	25.7478
16.1927	24.6077
16.2583	24.9178
14.8339	22.5851
14.5294	22.3841
14.103	21.6677
14.4919	22.3055
15.0026	23.4588
15.6164	24.5203
15.8788	24.8873
16.5254	26.093
16.5441	26.1934
17.4531	27.7967
